Year,Region,Commodity,Distance,Function,Status,Num_employee,Employee_hour,Hours_office,Hours_operation,Hours_other,Safety_cost,Num_accidents
2017,45,5,0,4,4,7,6975.88,424.87,6551.01,0,0.17,0
2017,21,1,0,1,4,3,710.13,43.96,666.17,0,3.05,0
2020,35,1,0,1,3,10,21394.48,3219.73,18174.75,0,1.56,0
2019,19,5,0,4,4,2,3793.03,0,3793.03,0,1.07,0
2019,29,1,0,1,3,4,5285.34,27.05,0,5258.29,1.88,0
2019,35,1,0,1,3,17,39095.9,7336.85,0,31759.05,1.62,0
2019,36,5,0,4,4,10,16802.76,4824.08,11978.68,0,1.14,0
2019,35,1,0,1,3,13,22554.08,5573.29,0,16980.79,2.12,0
2018,17,4,0,3,1,16,56670.12,3099.35,0,53570.77,NA,1
2018,47,1,0,1,4,2,139.62,4.36,135.26,0,3.19,0
2019,35,5,0,2,3,31,75380.96,7778.62,0,67602.34,0.33,0
2020,13,1,0,1,4,2,3258.01,0,3258.01,0,3.35,0
2017,14,5,0,4,4,2,3794.3,0,3794.3,0,0.23,0
2020,30,1,0,1,4,4,320.94,3.84,317.1,0,3.59,0
2018,38,4,3.5,4,1,3,644.71,0,0,644.71,3.16,0
2019,48,5,0,4,3,4,4119.32,80.16,4039.16,0,1.33,0
2019,28,1,0,1,4,5,10062.48,0,10062.48,0,3.06,0
2017,23,1,0,1,4,5,4694.5,0,4694.5,0,2.84,0
2019,45,1,0,1,3,9,19862.77,199.94,19662.83,0,1.69,0
2018,46,4,0,3,1,23,60302.02,20725.01,0,39577.01,3.23,1
2019,38,4,0,3,2,1,1120.39,0,0,1120.39,3.87,0
2019,10,5,0,4,3,15,36020.91,6123.12,7923.56,21974.24,0.75,0
2020,38,5,0,2,3,69,180032.16,36183.43,0,143848.73,0.66,2
2020,44,5,0,4,4,5,5072.06,1176.8,3895.26,0,1.01,0
2020,39,1,0,1,3,8,4525,479.36,4045.64,0,NA,0
2019,44,1,0,1,4,6,5452.31,14.98,5437.33,0,3.53,0
2020,5,1,0,1,3,9,26192.34,0,26192.34,0,1.41,0
2020,48,5,0,4,4,3,8070.32,469.44,7600.88,0,1.25,0
2020,24,5,0,4,4,5,4380.97,691.89,3689.08,0,0.45,0
2018,29,1,0,1,4,3,2705.82,7.93,2697.88,0,2.16,0
2018,46,4,3.93,2,1,80,170942.14,0,0,170942.14,3.8,3
2017,47,1,0,1,4,2,2523.35,0,2523.35,0,1.57,0
2017,22,1,0,1,4,2,3147.17,1566.06,1581.12,0,2.81,0
2017,38,4,3.33,4,1,5,8022.61,0,8022.61,0,2.8,0
2017,14,4,4.37,2,1,374,808406.4,31946.42,0,776459.98,3.95,26
2018,6,1,0,1,4,10,11305.44,870.49,10434.94,0,1.97,0
2019,33,2,0,4,3,14,20145.86,3244.66,0,16901.2,NA,0
2018,38,4,4.51,4,1,4,1507.89,0,1343.9,163.99,2.66,0
2020,13,3,0,2,6,3,3152.07,0,0,3152.07,3.83,0
2020,9,1,0,1,3,7,18063.52,5790.49,0,12273.03,3.64,0
2017,22,1,0,1,4,7,15486.68,3518.16,11968.53,0,3.16,0
2017,29,1,0,1,4,3,3708.28,4.03,0,3704.26,1.7,2
2017,5,1,0,1,4,4,3795.97,1513.16,2282.81,0,1.77,0
2017,39,5,0,4,3,7,8285.53,1238.83,7046.71,0,0.97,0
2019,6,1,0,1,4,2,300.11,83.31,216.8,0,1.82,0
2020,14,5,0,4,3,9,15899.38,3892.36,4805.21,7201.81,0.41,0
2018,13,1,0,1,3,2,1446.04,0,1446.04,0,NA,0
2017,34,1,0,1,4,1,1513.63,0,1513.63,0,3.18,0
2018,17,4,0,3,7,5,5739.1,0,0,5739.1,3.83,0
2018,14,4,4.37,4,1,19,46172.97,0,46172.97,0,0.34,0
2017,36,5,0,4,3,57,119930.12,15122.65,20058.86,84748.62,0.46,4
